Paper Title,Multimodal Information Extraction,Multimodal Information Extraction (score),Multimodal Information Extraction (sentence),Semantic Alignment with BIM/IFC,Semantic Alignment with BIM/IFC (score),Semantic Alignment with BIM/IFC (sentence),Formalisation of Regulatory Text,Formalisation of Regulatory Text (score),Formalisation of Regulatory Text (sentence),Rule Representation and Reasoning,Rule Representation and Reasoning (score),Rule Representation and Reasoning (sentence),Integration of Ontologies and Knowledge Graphs,Integration of Ontologies and Knowledge Graphs (score),Integration of Ontologies and Knowledge Graphs (sentence),Model–Driven Compliance Intelligence,Model–Driven Compliance Intelligence (score),Model–Driven Compliance Intelligence (sentence),Explainability and Trust in AI Systems,Explainability and Trust in AI Systems (score),Explainability and Trust in AI Systems (sentence),Human-in-the-Loop Approaches,Human-in-the-Loop Approaches (score),Human-in-the-Loop Approaches (sentence),Evaluation and Benchmarking,Evaluation and Benchmarking (score),Evaluation and Benchmarking (sentence),Tool Development and Real-World Application,Tool Development and Real-World Application (score),Tool Development and Real-World Application (sentence)
P. Venkatesh and S. Ergan 2023,partially addressed,0.568,"these include structured vocabularies, ontologies, logic operators, and semantic similarity to decompose narratives and normative text into a set of structured rules and understand the text (e",directly addressed,0.739,"while defining the rulesets, preparing models for rule/model- based compliance checking, and linking models with the rulesets, all the challenges faced that hindered effective linkage of safety requirements to bims were documented throughout the process",partially addressed,0.69,"the challenges have been investigated in the process with respect to the interpretation of narratives in regulations, rep- resentation of rulesets, and preparation of models for automated checking of them using models",partially addressed,0.658,"while defining the rulesets, preparing models for rule/model- based compliance checking, and linking models with the rulesets, all the challenges faced that hindered effective linkage of safety requirements to bims were documented throughout the process",partially addressed,0.534,"while defining the rulesets, preparing models for rule/model- based compliance checking, and linking models with the rulesets, all the challenges faced that hindered effective linkage of safety requirements to bims were documented throughout the process",partially addressed,0.552,semantic information alignment of bims to computer-interpretable regulations using ontologies and deep learning,partially addressed,0.643,"the challenges have been investigated in the process with respect to the interpretation of narratives in regulations, rep- resentation of rulesets, and preparation of models for automated checking of them using models",partially addressed,0.556,this research also provides potential solu- tions to practitioners and researchers to overcome challenges and prepare models for proactive compliance checking,partially addressed,0.654,this research also provides potential solu- tions to practitioners and researchers to overcome challenges and prepare models for proactive compliance checking,directly addressed,0.71,this research also provides potential solu- tions to practitioners and researchers to overcome challenges and prepare models for proactive compliance checking
P. Zech et al. 2024,partially addressed,0.558,"currently, the specification needs to be de- veloped manually, yet, as suggested by zhang & el-gohary (2017) and zhou & el-gohary (2021), natural language processing (nlp) provides an avenue for the automated generation of specifica- tions from regulation bodies",directly addressed,0.705,"solution proposal our proposal requires two inputs: (i) an ifc-based bim model to check, and (ii) rule specifications against which the bim model will be evaluated",partially addressed,0.697,the specifications for compliance checking and building performance analysis are most often writ- ten in natural language,directly addressed,0.71,"(2022), multi-ontology fusion and rule development to facilitate auto- mated code compliance checking using bim and rule-based reasoning, advanced engineering informatics 51, 101449",directly addressed,0.737,"(2022), multi-ontology fusion and rule development to facilitate auto- mated code compliance checking using bim and rule-based reasoning, advanced engineering informatics 51, 101449",partially addressed,0.541,"semantic information alignment of bims to computer- interpretable regulations using ontologies and deep learning, advanced engineering informat- ics 48, 101239",partially addressed,0.616,"compliance checking is the procedure of verify- ing that a building model is consistent with a cer- tain law, specification, or regulation",partially addressed,0.568,"compliance checking and building performance analysis is complex, and to this day, it is most of- ten carried out manually, by domain experts",partially addressed,0.682,"compliance checking and building performance analysis is complex, and to this day, it is most of- ten carried out manually, by domain experts",directly addressed,0.733,"with the advent of bim and ifc, the first promising im- plementations for automated compliance checking and building analysis started to appear (lee et al"
P. Zhou and N. El-Gohary 2022,partially addressed,0.59,"however, automated extraction of requirements from specifications to support automated compliance checking is challenging because of the text complexities of the specifications, including hierarchically complex text structures, incomplete sentence structures, and a variety of levels of development (lods)",partially addressed,0.614,method 3: proposed detail-aware level of development extraction method a detail-aware lod extraction method is proposed to extract re- quirements that are in the target bim lod for compliance checking of bims,directly addressed,0.728,"however, automated extraction of requirements from specifications to support automated compliance checking is challenging because of the text complexities of the specifications, including hierarchically complex text structures, incomplete sentence structures, and a variety of levels of development (lods)",partially addressed,0.648,a rule-based seman- tic approach for automated regulatory compliance in the construction sector,partially addressed,0.632,ontology-based semantic modeling of regulation constraint for automated construction quality compliance checking,partially addressed,0.611,a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking,partially addressed,0.634,automated code compliance check- ing based on a visual language and building information modeling,partially addressed,0.513,the most difficult component in automated compliance check- ing (acc) is automated requirement extraction: automatically extracting the requirements from the text and representing these requirements in the form of computer-processable rules,partially addressed,0.683,the most difficult component in automated compliance check- ing (acc) is automated requirement extraction: automatically extracting the requirements from the text and representing these requirements in the form of computer-processable rules,directly addressed,0.784,the most difficult component in automated compliance check- ing (acc) is automated requirement extraction: automatically extracting the requirements from the text and representing these requirements in the form of computer-processable rules
Q. Ren et al. 2024,partially addressed,0.677,"to automatically extract key information from text, natural language processing (nlp) technology has been applied to automated compliance checking as a link between computers and human languages",partially addressed,0.689,"[46] manually translated bim information and specifications into a specified regulatory knowledge query language to achieve content alignment and reasoning, while melzner et al",directly addressed,0.728,"la rosa, a semantic approach for automated rule compliance checking in construction industry, ieee access 9 (2021) 129648129660, https://doi",directly addressed,0.723,"[53] proposed a framework for the automated processing of regulatory content, by analyzing in detail the functions that compliance evaluation systems should contain, along with possible implementation methods",partially addressed,0.694,"wang, multi-ontology fusion and rule development to facilitate automated code compliance checking using bim and rule-based reasoning, adv",partially addressed,0.655,"el-gohary, a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking, autom",partially addressed,0.64,"lu, integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking, comput",partially addressed,0.583,"as a result, automated compliance checking has attracted attention from researchers",directly addressed,0.726,"to improve the automation level of compliance checking, boukamp et al",directly addressed,0.785,"to improve the automation level of compliance checking, boukamp et al"
R. Kruiper et al. 2024-2,partially addressed,0.659,"keywords automated compliance checking, knowledge graph, natural language processing, linked data 1",partially addressed,0.597,"borrmann, bim-based code compliance checking, in: building infor- mation modeling: technology foundations and industry practice, springer interna- tional publishing, 2018, pp",partially addressed,0.697,"gray1, farhad sadeghineko2, richard watson2 and bimal kumar2 1school of mathematics and computer sciences heriot-watt university, edinburgh, united kingdom 2department of architecture and built environment northumbria university, newcastle, united kingdom abstract compliance checking (cc) would be a lot easier if we could automatically map between (1) terms that occur in building regulations and (2) elements of buildings and building products",partially addressed,0.629,we use the terms lexicon and conceptualisation interchangeably to refer to the set of classes and properties required to compose compliance checking rules,partially addressed,0.668,"keywords automated compliance checking, knowledge graph, natural language processing, linked data 1",partially addressed,0.575,"keywords automated compliance checking, knowledge graph, natural language processing, linked data 1",partially addressed,0.621,"despite a plethora of motivations [3, 4, 5], and a long history of research [6, 7], a solution to automated compliance checking (acc) remains at large  also see our other paper submitted to this workshop [8]",partially addressed,0.556,"a related strand of acc research specifically focuses on supporting human experts during a compliance audit or even during design [9, 10, 11]",directly addressed,0.728,"despite a plethora of motivations [3, 4, 5], and a long history of research [6, 7], a solution to automated compliance checking (acc) remains at large  also see our other paper submitted to this workshop [8]",directly addressed,0.816,"despite a plethora of motivations [3, 4, 5], and a long history of research [6, 7], a solution to automated compliance checking (acc) remains at large  also see our other paper submitted to this workshop [8]"
R. Kruiper et al. 2024,directly addressed,0.712,nlp/ml and semantic web) to extract and process the regulatory knowledge directly from regulatory documents,partially addressed,0.671,this is because neither the bim systems native data structures nor the ifc interoperable exchange standard map directly and entirely on to the terms and objects found in the corpus of regulatory documents,directly addressed,0.712,in earlier work they wrote a parser9 for this framework that produces semantic graphs from which compliance rules are derived,partially addressed,0.694,"com/locate/aei full length article a platform-based natural language processing-driven strategy for digitalising regulatory compliance processes for the built environment ruben kruiper a, bimal kumar b, *, richard watson c, farhad sadeghineko d, alasdair gray a, ioannis konstas a a department of computer science, heriot-watt university, edinburgh, uk b department of architecture, university of strathclyde, glasgow, uk c department of architecture and built environment, northumbria university, newcastle-upon-tyne, uk d school of computing, engineering and built environment, glasgow caledonian university, uk a r t i c l e i n f o a b s t r a c t keywords: digital regulatory compliance natural language processing semantic web machine learning knowledge graph automated compliance checking the digitalisation of the regulatory compliance process has been an active area of research for several decades",directly addressed,0.729,"in addition to nlp, knowledge graphs have been used in this research to formally capture and represent regulatory knowledge to enable symbolic reasoning and processing of regulatory requirements",partially addressed,0.627,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, autom",partially addressed,0.627,"lin, knowledge-informed semantic alignment and rule interpretation for automated compliance checking, autom",partially addressed,0.567,"automating compliance checking automating the compliance checking process has been researched for half a century [21,67,10,4]",directly addressed,0.727,"automating compliance checking automating the compliance checking process has been researched for half a century [21,67,10,4]",directly addressed,0.79,"automating compliance checking automating the compliance checking process has been researched for half a century [21,67,10,4]"
R. Zhang and N. El-Gohary 2022,partially addressed,0.681,"for instance, the state-of-the-art fully-automated acc systems use semantic nlp rules based on semantic and syntactic features to extract semantic information elements from regulatory documents and transform them into logic rules [2]",directly addressed,0.726,", bim-regulatory information alignment and compliance reasoning) and existing semantic represen- tations of requirements (e",directly addressed,0.766,"semantic representations of natural-language requirements for automated compliance checking existing acc systems represent the natural-language building-code requirements in computer-processable semantic representations for supporting downstream acc tasks, such as matching regulatory infor- mation to design information in building information models (bim) and compliance reasoning",directly addressed,0.752,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.69,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.672,"mathews ave, urbana, il 61801, united states a r t i c l e i n f o a b s t r a c t keywords: intelligent building code natural language generation deep learning automated compliance checking requirement representation many existing automated compliance checking (acc) systems require the processes of extracting regulatory information from natural-language building-code requirements and transforming the extracted information into computer-processable semantic representations",partially addressed,0.659,"el-gohary, semantic-based logic representation and reasoning for automated regulatory compliance checking, j",partially addressed,0.532,[21] adopted the process model and notation (bpmn)- based compliant design procedures (cdp) for describing compliance checking workflows and embedding regulatory knowledge using regu- latory knowledge query language (rkql),partially addressed,0.658,"to improve the time- and cost-efficiency and to minimize the errors of the compliance checking processes, many automated compli- ance checking (acc) methods and systems have been developed",directly addressed,0.726,"to improve the time- and cost-efficiency and to minimize the errors of the compliance checking processes, many automated compli- ance checking (acc) methods and systems have been developed"
R. Zhang and N. El-Gohary 2023,partially addressed,0.584,"instead of relying on hardcoding or handcrafted rules, these efforts use machine learning models to automatically learn the underlying semantic and syntactic patterns of the regulatory text and ifc data to help in the alignment",directly addressed,0.711,example to illustrate use of proposed method for bim-regulation alignment within an automated compliance checking (acc) system,partially addressed,0.668,"in regulation-to-ifc translation, the building- code requirements are hardcoded into computer-processable represen- tations that allow information representation or retrieval with the ifc schema using modeling languages such as sparql protocol and resource description framework (rdf) query language [42], building environment rule and analysis language [43], regulatory knowledge query language [6], visual code checking language [44], and language- integrated query [45]",partially addressed,0.652,"to address this need, this paper proposes a transformer-based method to align regulatory concepts in the requirements with the ifc concepts in the ifc schema for supporting downstream acc information matching and compliance reasoning processes",partially addressed,0.629,"first, a knowledge graph was automatically constructed based on the ifcowl (web ontology language representation of the ifc schema) [60], which is an rdf graph of the ifc ontology, using a rule-based method",partially addressed,0.655,"el-gohary, a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking, autom",partially addressed,0.603,"borrmann, towards code compliance checking on the basis of a visual programming language, j",partially addressed,0.558,"automated regulatory compliance in the construction sector, expert syst",partially addressed,0.589,"to improve regulatory and contract compliance, as well as project effi- ciency, various automated compliance checking (acc) systems have been developed with the aim of automating  fully or partially  the process of checking the compliance of building designs, captured in building information models (bims), with applicable regulations and requirements",directly addressed,0.742,"to improve regulatory and contract compliance, as well as project effi- ciency, various automated compliance checking (acc) systems have been developed with the aim of automating  fully or partially  the process of checking the compliance of building designs, captured in building information models (bims), with applicable regulations and requirements"
R. Zhang et al. 2022,partially addressed,0.661,annotation-based acc methods require professionals to read the regulatory text and then annotate the sentences with a set of predefined semantic labels or markups that indicate the semantic roles or the semantic relations between these roles in the context of compliance checking,partially addressed,0.697,classification of rules for automated bim rule checking development,directly addressed,0.745,"asce2 abstract: most of the existing automated compliance checking (acc) systems are unable to fully automatically convert building-code requirements, especially requirements that have hierarchically complex semantic and syntactic structures, into computer-processable forms",partially addressed,0.662,"proposed requirement hierarchy and semantic relations for supporting automated compliance checking requirement hierarchy this paper proposes a new semantic representationrequirement hierarchyto model building-code requirements, including hier- archically complex requirements with restrictions and/or exceptions, for automated representation, processing, and understanding of these requirements for supporting acc",partially addressed,0.646,"2015), regulatory knowledge query language (dimyadi et al",partially addressed,0.603,"to address the aforementioned challenges, this paper proposes a deep learning-based approach to automatically convert building- code sentences, especially the structurally complex ones, into smaller, easier-to-digest, and less-complex interconnected units of requirements for facilitating the succeeding steps of acc, such as compliance reasoning",partially addressed,0.646,modelling and accessing regulatory knowledge for computer-assisted compliance audit,partially addressed,0.615,"our ultimate goal is to leverage machine learning and other artificial intelligence (ai) approaches to reach a level where users can automatically pro- cess the entire building code and represent it in a computable man- ner for fully automated compliance checking, with minimum manual effort in developing the underlying models (e",partially addressed,0.659,towards the adoption of automated regulatory compliance checking in the built environment,directly addressed,0.714,towards the adoption of automated regulatory compliance checking in the built environment
S. Bigdeli et al. 2025,partially addressed,0.549,"keywords: building information model, semantic enrichment, automated code compliance checker, machine learning, fire safety codes * correspondence should be addressed to: soheila bigdeli, e-mail: soheila",partially addressed,0.687,we believe that our methodology could be employed for fast annotation and would be well suited for use in automated code compliance checks by retrieving data from bim models without requiring additional user input,partially addressed,0.637,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.614,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.595,semantic enrichment (se) is a promising solution for preparing model data to provide or correct the information required by regulations [16],partially addressed,0.573,"the machine learning models can be retrained with localized data to ensure compliance with specic national or regional regulations, accom- semantic enrichment of a bim",partially addressed,0.657,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.549,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking",partially addressed,0.673,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking",directly addressed,0.741,"malsane s, matthews j, lockley s, greenwood d (2015) development of an object model for automated compliance checking"
S. Dritsas et al. 2024,not addressed,0.483,"space identification spatial analysis, such as regulatory compliance checking, often requires information pertaining to the usage of each space",partially addressed,0.627,we highlight the conceptual and technical limitations of current bim paradigms and discuss how they may be improved,partially addressed,0.544,"automatic rule-based checking of building designs, automation in construction, 18(8), 1011-1033",partially addressed,0.511,automated code compliance checking model for fire egress codes,not addressed,0.425,the data required is semantically labelled regions and graphs conveying the relationship between those,not addressed,0.381,automated code compliance checking model for fire egress codes,not addressed,0.499,automated code compliance checking model for fire egress codes,not addressed,0.407,"thus, today spaces are manually drawn in the plan, and this opens the door for challenges such as human errors which paired with a lack of industry modelling standards and quality control protocols result in inconsistencies that limit the utility of bim (migilinskasa et al",partially addressed,0.507,automated code compliance checking model for fire egress codes,partially addressed,0.569,automated code compliance checking model for fire egress codes
S. Fischer et al. 2024,partially addressed,0.525,"in addition, the availability of an open source rule language is often called for in the discussion of how to represent building regulations in a computer- interpretable form (stepien et al",partially addressed,0.676,"in addition to the initial use of bim for quality assurance during the design phase, building authorities are now implementing semi-automated compliance checks based on bim models (amor and dimyadi, 2021; beach et al",partially addressed,0.691,"in addition, the availability of an open source rule language is often called for in the discussion of how to represent building regulations in a computer- interpretable form (stepien et al",partially addressed,0.616,"in addition, the availability of an open source rule language is often called for in the discussion of how to represent building regulations in a computer- interpretable form (stepien et al",partially addressed,0.513,towards the adoption of automated regulatory compliance checking in the built environment,not addressed,0.424,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.627,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.5,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.659,towards the adoption of automated regulatory compliance checking in the built environment,directly addressed,0.721,"in addition to the initial use of bim for quality assurance during the design phase, building authorities are now implementing semi-automated compliance checks based on bim models (amor and dimyadi, 2021; beach et al"
S. Fuchs et al. 2022-2,partially addressed,0.641,semantic nlp-based infor- mation extraction from construction regulatory documents for automated compliance checking,partially addressed,0.581,automated information transformation for automated regulatory compliance check- ing in construction,partially addressed,0.679,automated information transformation for automated regulatory compliance check- ing in construction,partially addressed,0.643,a study on translating regulatory rules from natural language to defeasible logics,partially addressed,0.581,"ontologies combined with rule-based systems achieved accurate results in narrow domains (zhang & el-gohary 2016, zhou & el-gohary 2017)",partially addressed,0.532,neural semantic parsing of building regulations for compliance checking,partially addressed,0.627,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.539,while there was extensive research into automat- ing the compliance checking (acc) process (east- man et al,partially addressed,0.691,while there was extensive research into automat- ing the compliance checking (acc) process (east- man et al,directly addressed,0.798,while there was extensive research into automat- ing the compliance checking (acc) process (east- man et al
S. Fuchs et al. 2022,partially addressed,0.666,"while there has been a long history of translating regulations manually, in recent years, natural language processing (nlp) has been used to support or automate this task",partially addressed,0.525,references [1] amor r and dimyadi j 2020 the promise of automated compliance checking developments in the built environment 5 100039 [2] aribandi et al,directly addressed,0.717,computerising building regulations to allow reasoning is one of the main challenges in automated compliance checking in the built environment,partially addressed,0.624,computerising building regulations to allow reasoning is one of the main challenges in automated compliance checking in the built environment,partially addressed,0.572,"of construction engineering and management 136 3 294302 [14] li f, song y and shan y 2020 joint extraction of multiple relations and entities from building code clauses applied sciences 10 20 p 7103 [15] zhang j and el-gohary n m 2016 semantic nlp-based information extraction from construction regulatory documents for automated compliance checking journal of computing in civil engineering 30 2 [16] kwon j, kim b, lee s and kim h 2013 automated procedure for extracting safety regulatory information using natural language processing techniques and ontology annual conference of the canadian society for civil engineering 2 121320 [17] zhou p and el-gohary n 2017 ontology-based automated information extraction from building energy conservation codes automation in construction 74 103-17 [18] xu x, cai h and chen k 2019 modeling 3d spatial constraints to support utility compliance checking computing in civil engineering: visualization, information modeling, and simulation 439-46 [19] zhang r and el-gohary n 2020 a machine-learning approach for semantically-enriched building-code sentence generation for automatic semantic analysis construction research congress: computer applications 9 world building congress 2022 iop publishing iop conf",partially addressed,0.614,"computing in civil engineering 29 4 b4015001 [24] guo d, onstein e and la rosa a d 2021 a semantic approach for automated rule compliance checking in construction industry ieee access 9 129648-60 [25] raffel c, shazeer n, roberts a, lee k, narang s, matena m, zhou y, li w and liu p j 2019 exploring the limits of transfer learning with a unified text-to-text transformer preprint arxiv:1910",partially addressed,0.647,computerising building regulations to allow reasoning is one of the main challenges in automated compliance checking in the built environment,partially addressed,0.562,references [1] amor r and dimyadi j 2020 the promise of automated compliance checking developments in the built environment 5 100039 [2] aribandi et al,directly addressed,0.718,references [1] amor r and dimyadi j 2020 the promise of automated compliance checking developments in the built environment 5 100039 [2] aribandi et al,directly addressed,0.814,introduction automated compliance checking (acc) has been an active research area in the building domain for the last 50 years [1]
S. Fuchs et al. 2023,partially addressed,0.632,semantic nlp-based information extraction from construction regulatory documents for automated compliance checking,partially addressed,0.651,"bim enables sharing of digital building design data that can be used for compliance checking with legal requirements, which are conventionally conveyed in natural language and not intended for machine processing",directly addressed,0.71,this capability could be used to automate the conversion of building regulations into a semantic and computable representation,partially addressed,0.663,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.598,"while such rule-based approaches can achieve high accuracy for narrow domains (zhang and el-gohary, 2019), they lack scalability and rely on the quality and availability of the ontologies",partially addressed,0.594,"we harness the power of llms to translate natural language legal requirements into formal representations and provide valuable insights into the performance and challenges associated with this approach, paving the way for future improvements and enhanced compliance automation",partially addressed,0.627,integrating nlp and context-free grammar for complex rule interpretation towards automated compliance checking,partially addressed,0.555,"even when nearing flawless translation, the potential requirement for certification and review remains, emphasising the need for a human-assisted workflow",partially addressed,0.653,"automation in regulatory compliance checking has been an active research field in the industry for half a century (dimyadi and amor, 2013)",directly addressed,0.728,"automation in regulatory compliance checking has been an active research field in the industry for half a century (dimyadi and amor, 2013)"
S. Fuchs et al. 2024,partially addressed,0.66,"el-gohary, semantic nlp-based information extraction from con- struction regulatory documents for automated compliance checking, j",partially addressed,0.68,several tools have successfully checked bim for compliance issues,directly addressed,0.746,this capability can be used in the construction domain to interpret building regulations and convert them into a formal representation usable for automated compliance checking,directly addressed,0.72,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.618,"kasim, a rule-based semantic approach for automated regulatory compliance in the construction sector, expert syst",partially addressed,0.617,"lu, integrating nlp and context-free gram- mar for complex rule interpretation towards automated compliance checking, comput",partially addressed,0.642,"broyd, capabilities of rule representations for automated compliance checking in healthcare buildings, autom",partially addressed,0.573,"broyd, capabilities of rule representations for automated compliance checking in healthcare buildings, autom",directly addressed,0.703,automated compliance checking acc refers to the process of automatically evaluating whether some- one or something conforms with the applicable legal requirements,directly addressed,0.776,automated compliance checking acc refers to the process of automatically evaluating whether some- one or something conforms with the applicable legal requirements
S. Khattra et al. 2022,partially addressed,0.549,"from the text regulation, the information is retrieved as the initial step for this method, leading to a method of architectural building model compliance checking",directly addressed,0.704,"in the ifc file format, the bim model is transferred, and is required to provide automatic code compliance control for this detailed information",partially addressed,0.676,", the research can be used as a basis for the development of a general-purpose rule engine through the collaboration of all such assets, which can be guided for a complete code compliance report of the structural model data",partially addressed,0.633,", the research can be used as a basis for the development of a general-purpose rule engine through the collaboration of all such assets, which can be guided for a complete code compliance report of the structural model data",partially addressed,0.627,the owl and semantic web rule language (swrl) rules were combined in a jess rule engine by carrying out the reasoning process,not addressed,0.495,"this consists of a semantic enrichment rule engine implemented in python pro-gramming language, integrated into an open, vendor-neutral bim environment",partially addressed,0.627,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.5,towards the adoption of automated regulatory compliance checking in the built environment,partially addressed,0.659,towards the adoption of automated regulatory compliance checking in the built environment,directly addressed,0.749,studies on automated code compliance checking systems make up the major part of the research done on the topic of automatic code compliance
S. Madireddy et al. 2025,partially addressed,0.674,further advancements included the use of nlp techniques to automate the extraction of information from regulatory texts [5],directly addressed,0.743,existing compliance-checking models lack integration with bim environments,partially addressed,0.683,automated information transformation for automated regulatory compliance checking in construction,partially addressed,0.665,"knowledge graphs are also being explored to structure and store knowledge from bim standards, enabling rule-based systems and machine learning to be used for compliance checking [26]",directly addressed,0.709,"knowledge graphs are also being explored to structure and store knowledge from bim standards, enabling rule-based systems and machine learning to be used for compliance checking [26]",partially addressed,0.652,they also enhance the compliance process by employing pre-classification techniques and leveraging deep learning models to handle nested conditional statements and ambiguous regulatory language,partially addressed,0.687,"more recently, there has been a focus on utilizing visual programming languages to make rule-making and compliance checking more accessible to non-programmers",partially addressed,0.584,"these steps are increasingly supported by advanced digital technologies, such as bim, nlp, and machine learning, which significantly improve the accuracy and speed of compliance checks [8]",partially addressed,0.66,automated compliance checking (acc) has emerged as a solution to improve accuracy and efficiency by using computer programs to check build- ing projects against codes,directly addressed,0.795,"to address these challenges, several software tools have been developed to automate compliance checking directly within bim environments, particularly revit"
S. Zentgraf et al. 2022,partially addressed,0.608,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.692,bim managers that want to define rule checking sets 5,directly addressed,0.76,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.678,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.582,"scope - the description, creation and maintenance of properties and group of properties in interconnected data catalogs - quality-assured, seamless exchange of information between participants in bim processes - provision of central repositories using standardized definitions of building elements and properties web ontology language (owl) 3",partially addressed,0.534,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.598,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",not addressed,0.495,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.553,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]",partially addressed,0.641,"for automatic compliance checking (acc) of building designs, natural language specifications in regulatory documents need to be converted into machine-readable constraints [9, 10]"
S. Zhu et al. 2024,partially addressed,0.59,(2015) developed a rule- based semantic approach and tested a regulatory compliance sys- tem framework to demonstrate its generality,directly addressed,0.768,the process of quality compliance checking of bim models is based on bim data and enforcing rules to enable automated check- ing and evaluation of the models,directly addressed,0.722,a semantic approach for automated rule compliance checking in construction industry,directly addressed,0.756,(2015) developed a rule- based semantic approach and tested a regulatory compliance sys- tem framework to demonstrate its generality,partially addressed,0.658,"2017): (1) using existing software or plug-ins for code compliance checks; (2) establishing a knowledge base and rule engine based on object-oriented methods; (3) inter- preting rules based on logical methods such as predicate logic, con- cept maps, and deontology; and (4) creating an ontology method framework based on semantic web technologies",partially addressed,0.611,a deep neural network-based method for deep information extraction using transfer learning strategies to support automated compliance checking,partially addressed,0.614,rule checking interface development between building information model and end user,partially addressed,0.503,"in fact, since the concept of automated compliance checking (acc) was proposed, many studies have used hardcoding to turn standards and specifications into computer-executable rules to realize automated compliance checking, but this approach is less flexible and less interoperable, and it is difficult to adapt to the ever-changing rule requirements (solihin and eastman 2016)",partially addressed,0.696,"in fact, since the concept of automated compliance checking (acc) was proposed, many studies have used hardcoding to turn standards and specifications into computer-executable rules to realize automated compliance checking, but this approach is less flexible and less interoperable, and it is difficult to adapt to the ever-changing rule requirements (solihin and eastman 2016)",directly addressed,0.803,"in fact, since the concept of automated compliance checking (acc) was proposed, many studies have used hardcoding to turn standards and specifications into computer-executable rules to realize automated compliance checking, but this approach is less flexible and less interoperable, and it is difficult to adapt to the ever-changing rule requirements (solihin and eastman 2016)"
T. Beach et al. 2024-2,partially addressed,0.675,the combination of natural language processing (nlp) with with spatial reasoning has also been developed (li and cai 2015) has also been developed as a means for automatically extracting and formalising regulatory content,partially addressed,0.636,"once reconstructed, such a bim model can be used for compliance checking in much the same was as a bim model cre- ated during the design process",directly addressed,0.756,a rule-based semantic approach for automated regulatory compliance in the construction sector,directly addressed,0.723,a rule-based semantic approach for automated regulatory compliance in the construction sector,partially addressed,0.656,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.575,knowledge-informed semantic alignment and rule interpretation for automated compliance checking,partially addressed,0.636,digital approaches to construc- tion compliance checking: validating the suitability of an ecosystem approach to compliance checking,partially addressed,0.573,this is a network of organisation interested in auto- mated compliance checking,partially addressed,0.695,"however, despite all of this work, there has not been signifi- cant adoption of automated compliance checking methods in the wider industry",directly addressed,0.747,"however, despite all of this work, there has not been signifi- cant adoption of automated compliance checking methods in the wider industry"
